"","Comparison","p_value"
"1","PC vs NC (Shannon)",0.299715122528236
"2","PC vs NC (Simpson)",0.173194031398789
"3","PC vs NC (Observed)",0.814176063019293
"4","Fiber vs PC (Shannon)",0.951488869145489
"5","Fiber vs PC (Simpson)",0.73899362884381
"6","Fiber vs PC (Observed)",0.977255375966114
"7","Combined vs Single (Shannon)",0.894337118891387
"8","Combined vs Single (Simpson)",0.913710167264904
"9","Combined vs Single (Observed)",0.293986070644062
