"Comparison","R2","p_value"
"All Treatments",0.099162757381688,0.472
"NC vs PC (Baseline Shift)",0.0502426491228717,0.454
"All Fiber Treatments vs PC",0.0699640789542072,0.835
"Combination vs Single Fiber Sources",0.0737320300247657,0.725
"OH_SBP vs SH_SBP Comparison",0.0164908863557043,0.9
"WM vs SBP Combinations",0.0815453643026625,0.465
