"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BATF3",627.268315360807,2.09046973775181,0.288865702098484,7.23682224149648,4.59319520630829e-13,1.92879749700901e-09
"GVINP1",1601.46864521094,2.39423077225459,0.329904701713912,7.25734055870118,3.94774889941481e-13,1.92879749700901e-09
"LY6E",8483.17380116307,2.9026364897361,0.400401260054373,7.24931906893084,4.18872088605096e-13,1.92879749700901e-09
"TGM4",1123.85566477877,4.08241063079183,0.554581671866418,7.36124332607796,1.82205088038115e-13,1.92879749700901e-09
"NEURL1B",3653.36807730973,1.88297161345451,0.264181035548974,7.12758056058662,1.0214848933722e-12,3.43157635079458e-09
"SERPING1",2620.18412830646,2.0141309185193,0.286237404103674,7.03657484886141,1.97022837495319e-12,5.51565433568144e-09
"LOC112533405",9.34407278927238,5.12023208833371,0.735819759527298,6.95854116723235,3.43814279605091e-12,8.25006922075245e-09
"J6367_mgp09",1388.38750348116,-4.09848426576592,0.598185135533018,-6.85153144454839,7.30635337113732e-12,1.53406021968742e-08
"APOA2",25.1794627979976,5.09420343782611,0.745817220276135,6.83036446374891,8.46991690275975e-12,1.58076882461839e-08
"LOC121108476",78.3117529344028,-1.46323089674728,0.216330617529851,-6.76386409586878,1.34359125881455e-11,2.2568302374308e-08
"SLC13A3",24.5284150086286,-2.9986492833052,0.447297566007435,-6.70392488398955,2.02894589345938e-11,3.09820037931248e-08
"IFI27L2",7555.40246236701,2.13914871306318,0.319783081160001,6.6893742636524,2.2412685950229e-11,3.1372157158833e-08
"PLCXD3",68.2524547218741,-2.24501817978573,0.342242035688096,-6.55973827198638,5.39023008891823e-11,6.96459190796612e-08
"NTS",5605.88186810679,-2.32192414538965,0.358451605680926,-6.47765028414044,9.31619670393622e-11,1.11774397168583e-07
"LOC420368",2408.15987936405,1.96397654910573,0.306872327673448,6.39997931385869,1.55398003825501e-10,1.74014684683796e-07
"ETNPPL",66.66217319309,-3.31031234169292,0.523592522311714,-6.32230637496035,2.57687815702131e-10,2.70523890021793e-07
"NAALAD2",148.271598201369,-2.02536803482303,0.324325418528947,-6.24486370513157,4.24169821517087e-10,4.19104734824854e-07
"IFI6",17029.4000784712,2.31808165876787,0.372844969976321,6.21728022484811,5.05845924007838e-10,4.47194420292613e-07
"J6367_mgp05",4608.85342586562,-3.18849751747501,0.512298987794022,-6.22389970201737,4.84947161476842e-10,4.47194420292613e-07
"ABCC13",241.421330854852,-1.14295432479682,0.184624622474437,-6.19069282026603,5.99003424246601e-10,5.03073025853508e-07
