comparison,genes_padj_lt_0.05,upregulated,downregulated
NC vs SF,603,183,420
SF vs RF,0,0,0
SF vs LF,9,3,6
RF vs LF,0,0,0
SC vs RC,4,3,1
SC vs LC,92,46,46
RC vs LC,0,0,0
SF vs SC,16,11,5
RF vs RC,3,0,3
LF vs LC,0,0,0
