"","NC","RF","SF","SC","LC","LF","RC"
"NC",100,0,0,0,0,0,0
"RF",0,100,10,0,20,20,0
"SF",0,10,100,0,0,0,0
"SC",0,0,0,100,0,0,0
"LC",0,20,0,0,100,0,0
"LF",0,33.3,0,0,0,100,33.3
"RC",0,0,0,0,0,20,100
