"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENDOV",634.25808925785,-1.17028976173945,0.258764399629309,-4.5226072961193,6.10825050043729e-06,0.0222875494603229
"IL17F",15.6000018905407,-1.72478400112518,0.378762945120999,-4.55372951167168,5.27031132509153e-06,0.0222875494603229
"LOC124417418",64.1805253249757,3.71428782089682,0.836940814648856,4.43793366972451,9.08265973233164e-06,0.0222875494603229
"QPRT",8.88396239243709,4.6352984956294,0.980473746745629,4.72761102580748,2.27176849844986e-06,0.0222875494603229
"BTBD18",17.9042157827017,-1.57684935179271,0.369610246080262,-4.26624902452054,1.98786886934104e-05,0.034145623568671
"LOC121106462",72.8111452408883,-1.27843137345162,0.298722631566271,-4.27966025455961,1.87178822182271e-05,0.034145623568671
"LOC112531211",99.8135050831793,-1.44936212891879,0.34205339568348,-4.23723941118234,2.26284812257538e-05,0.035335402001343
"MIR6607",8.63878435554818,1.54078115309658,0.365664670919284,4.21364511158006,2.51282014558703e-05,0.0359689263672904
"J6367_mgp08",178930.773641848,-1.00327802349938,0.241630442454623,-4.15211764423181,3.29412835648359e-05,0.0369210239670383
