"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diff_expression"
"Brevibacillus agri",22.85761419723,-23.6619283604806,2.56227488507442,-9.23473453153461,2.58927274803358e-20,2.97714580568901e-16,"Downregulated"
"Burkholderia sp. MS455",6.29714940394946,-19.4050584159161,2.21491756744105,-8.76107476917764,1.9339746538724e-18,1.11184202851124e-14,"Downregulated"
"Weizmannia sp. FSL W8-0676",13.8305220733474,-21.2206148410908,3.45540900159985,-6.14127439943162,8.18620285897234e-10,3.13749868241547e-06,"Downregulated"
"Dermabacter jinjuensis",11.6618663158507,-23.3747151159046,3.96048857070885,-5.90197767234585,3.59169782621951e-09,1.0324335401468e-05,"Downregulated"
"Amycolatopsis mediterranei",24.4546237920052,1.36696478741416,0.318894587424162,4.28657255821014,1.81450953886835e-05,0.0417264613558165,"Upregulated"
