,log2FoldChange,padj
LOC770996,-1.465492497,0.003547024
LOC121111016,-2.741147025,0.003683398
VPS37B,1.028837956,0.003705171
SUSD2,-6.305478606,0.003821236
TSPAN1,1.050140917,0.003887511
GALNT16,-1.293368694,0.003888369
BMPER,-2.115542748,0.003891966
SNED1,-1.35686876,0.003894966
PLN,-2.136581407,0.003919284
DDX60,1.617481629,0.003944676
SERPINB1,1.458304111,0.003944676
LOC124417669,1.326798626,0.004230271
PLET1,1.222202818,0.004277206
SLC13A1,-5.034043424,0.004310007
LOC107052436,-1.911347552,0.004345251
LOC100858647,-2.344754933,0.004432187
WNK4,-1.072524277,0.004478217
BCO1,1.097474998,0.004514026
FGFR1,-1.13958358,0.00468428
LOC101751311,-2.379260365,0.00468428
LOC112532478,-1.620799738,0.004821269
PRELID3A,1.059053042,0.004821269
LOC112532346,-2.640359622,0.004837283
GNAT3,-1.715311318,0.004842473
DOCK3,-1.507915094,0.004967689
TBC1D24,-1.32658286,0.005082018
LOC770492,-1.737850165,0.00527282
ATP2B2,-1.670382413,0.005425894
LY6E,1.552178118,0.005425894
GFRA3,1.220344938,0.005501109
SLC26A1,1.514009343,0.005707916
CACNA1B,-1.358548977,0.005744864
NR1H4,-1.434445782,0.005744864
PLPP4,-1.43947562,0.005744864
H1FOO,-2.534251426,0.005782121
ATP2A3,1.068840625,0.006024077
C7,-2.390725723,0.00602819
LOC121110334,-1.682372512,0.006100758
TCERG1L,-1.308095848,0.006100758
LOC419322,-1.440854997,0.006217234
HOXD10,-1.078029033,0.006302462
LOC112533251,-2.476084835,0.006320917
BOC,-1.165933184,0.00649926
LOC121106808,-4.151972065,0.006506361
LOC101750611,1.439264027,0.006669783
PRLHR2,2.148712335,0.006763789
RNF222,2.326617656,0.006763789
ADAMTS3,-1.035176731,0.006911314
TPTE,-1.342742688,0.006933164
CUTAL,-2.105850045,0.00694174
MAOB,-2.124504023,0.00694174
SPINT1,1.042290346,0.00694174
LOC107054049,-1.541903096,0.007020996
SLC5A9,-1.575157106,0.007020996
HIST1H2A4L2,1.18586339,0.007264498
NALCN,-1.683475397,0.007271768
CAPN8,-1.149290958,0.007275601
ADAMTS13,-1.465665387,0.007364658
UPB1,1.043701465,0.007364658
HIST2H3A,1.706668829,0.007432574
PLA2G2E,-3.470129949,0.007472358
CARD10,-1.581558117,0.007539271
PLXNA2,-1.383811408,0.007539271
BMX,-2.062743278,0.007555898
CAPN5,1.025105452,0.007555898
HSPB9,1.06368032,0.007559015
RASGRF2,-1.257937939,0.007559015
ABCB1,-1.312126473,0.007690232
FUT9,-1.585598253,0.007720628
HLF,-1.094555488,0.007721561
LOC101748278,-1.332416862,0.007800062
RNF180,-2.025187658,0.007837938
LOC121108884,-3.118268908,0.007925767
PDE2A,-1.305623782,0.007932819
GJB2,1.678216672,0.00808598
LOC107055203,1.46804544,0.00808598
ADCY3,-1.075155859,0.008134163
LOC121106462,1.403406474,0.008134163
LOC101751658,-3.747731185,0.00823631
RYR3,-1.006762391,0.008516259
HIST1H2A4L1,1.176322737,0.00853657
ANKRD50,-1.003377235,0.008555257
DPT,-2.071740369,0.008587688
CMPK2,1.526059892,0.008743398
NR1I3,-1.413662299,0.008885765
FBXL7,-1.183661346,0.009049863
SLC4A10,-2.200013807,0.009239611
ST6GALNAC1,-1.504614435,0.009317537
NCS1,-1.316396107,0.009397913
OPRD1,1.868862666,0.009498262
P2RX1,-1.445578057,0.009547441
RELT,-1.201093494,0.009547441
ZNF536,-1.884298368,0.00965831
HIST1H2A4,1.526480265,0.009714975
LOC112530352,-1.939768861,0.009714975
SPTBN5,1.001583588,0.009714975
CNTFR,-1.707950186,0.009795458
IFIT5,1.869430758,0.009847663
KLKB1,-1.449722105,0.010100235
DPP4,-1.774155933,0.010133346
LOC107053714,1.430063634,0.010133346
MGAT4D,-2.14444797,0.010251262
CCDC160,-1.288721093,0.010455494
TDRD12,-3.122113453,0.010455494
GRIA3,-1.942702766,0.010459004
CA13,-1.740799551,0.010829482
ANKRD9,1.182073418,0.010905194
CHDSD,-1.446791802,0.010968577
LAMC2,1.084499986,0.010968577
OC3,-1.896406525,0.011195968
CAT,-1.025976955,0.01123884
SLC2A9,-1.55348102,0.011477308
SCUBE1,-1.473080363,0.011642543
EPYC,-2.166939058,0.011677981
SLC22A13L,-3.310263051,0.011691048
AGTR2,-1.287960473,0.01172571
HIST1H46L6,1.614621061,0.011862047
NCALD,-1.271038239,0.011970839
ACTN2,-1.731022358,0.011974206
KCNB1,-1.376357548,0.012432236
GVINP1,1.349887853,0.012518889
MINAR1,-1.962363249,0.012518889
GEM,-1.329470958,0.012645117
LOC112532660,-1.258727916,0.01285101
ABCG5,-3.511133732,0.01286428
CA2,1.263783786,0.01286428
MYOC,-1.3035085,0.01286428
HIGD1C,1.146787141,0.013200531
CCDC122,1.737267672,0.013460616
AMIGO2,-1.338316748,0.013694644
DNER,-1.493199571,0.013820076
LOC124417153,-2.878525675,0.013820076
SMOC2,-1.397889414,0.013820076
KRT40,1.310811998,0.013845114
FXYD2,-1.376667444,0.013898498
P2RX2,-1.180675819,0.013898498
HIST1H2B5,1.324700262,0.014024458
TMC3,1.311463937,0.014066848
COL9A1,-2.418230282,0.014112837
TRNP1,1.390364576,0.014128137
MAPK10,-2.158855037,0.014351291
LOC124417544,-1.79494723,0.01466021
SLC16A3,1.267103078,0.01466021
AQP8,1.64025071,0.014726049
LOC107051395,1.211775744,0.014805086
LOC101747754,-2.012297834,0.014832866
LOC101752086,-1.052414271,0.014899037
LOC421232,-1.26331737,0.014899037
NRSN1,-1.637007371,0.014899037
UNC5A,-1.471226716,0.014899037
INSL5,-1.211978745,0.01494647
FABP5,-1.273377407,0.014961199
LOC422270,1.150853388,0.014978876
RASGRF1,-1.953923056,0.015001492
LOC107054729,-3.417773098,0.01509223
SCD,1.381399125,0.01509223
LOC112533408,-1.544708661,0.015341955
LOC121110856,-6.38758579,0.015600415
CACNA2D1,-1.290119332,0.015757664
LOC112531190,1.532141334,0.015757664
SVIP,-1.29396219,0.015757664
TST,1.03402935,0.016027681
ZFP2,-3.072735211,0.016133429
IFNL3A,5.122130922,0.016581811
LOC420552,1.100087369,0.01658991
S100A1,-1.474172866,0.016596674
B3GNT7,1.008895247,0.016778101
ENDOD1,1.048829329,0.016890496
SLC39A5,-1.361359743,0.016895694
URAH,1.029343338,0.017051664
LURAP1L,1.128813839,0.017260728
WFDC2,-1.922273843,0.017362361
LINGO1,1.210889182,0.017593994
LOC121111655,-1.490489138,0.017694333
LOC121108363,-1.608097034,0.017771953
IL1R1,-1.101008944,0.01785013
LOC772158,1.615741594,0.017921356
LOC107054877,-1.439959847,0.017952695
LOC418414,-2.079388659,0.018034942
CBS,1.305596677,0.018112346
LOC121113160,-2.049665023,0.018134532
MME,-1.788234132,0.018134532
PARM1,1.009764477,0.018134532
COL19A1,-1.197475458,0.01851869
TRPM5,1.027961586,0.018603877
VSTM2B,-1.496733986,0.018713091
ASL,1.123761956,0.018795175
MYOCD,-1.548236099,0.018795175
LOC124417555,-1.220829836,0.018904054
AUTS2,-1.085546644,0.018999477
UCP3,-1.339678413,0.018999477
MYO7L2,-1.791857459,0.019363575
DMTN,-1.127224052,0.019426929
COL24A1,-1.299756025,0.019563636
PRR16,-1.183443648,0.019563636
GFI1B,-1.591993639,0.019649103
EPSTI1,1.104331616,0.01973933
SPAG17,-1.340898582,0.019747374
LRIG3,-1.614046119,0.01979615
PNAT3,1.036521724,0.01979615
LOC101748003,-1.43522918,0.019811758
CGTL,-1.419462416,0.019893225
DRD4,-1.454098035,0.019893225
LOC107050073,-1.507182091,0.019893225
HHATL,1.397244446,0.01997375
CABP1,-1.127215959,0.020367293
CDH17,1.086820444,0.020386336
XKR9,1.649605405,0.020386336
CHAT,-2.136239117,0.020512074
CPXM1,-1.328992873,0.020512074
HIST1H46L2,1.069159242,0.020512074
TMEM27,-2.987798222,0.020703902
PDZK1IP1,-2.103698981,0.020754457
GREB1L,-1.065890021,0.021102743
GPAT2,-1.32523109,0.021114045
TLL1,-1.416594216,0.021114045
ZC2HC1A,-1.058360861,0.021173191
LOC112532795,3.015091628,0.021187512
GALNT14,-1.119570895,0.021260868
LOC121111042,-1.583657636,0.021260868
PLXDC2,-1.187397817,0.021260868
PODN,-1.23803516,0.021260868
LOC121106642,-3.140231964,0.021364756
MPST,1.048163707,0.021504848
MMP13,-1.37833283,0.021731156
LOC121106981,1.094258121,0.021948782
NXPH2,-1.872752695,0.022179609
CXCR7,-1.032393024,0.022184896
HAPLN1,-1.457665272,0.022231596
LOC101748820,-1.701151431,0.022359605
PROK1,-1.382417751,0.022406517
ARX,-1.197085634,0.022510754
LOC101749705,1.301202432,0.022585899
AIFM3,-1.267361874,0.022820044
