,log2FoldChange,padj
GBP,2.309693669,0.001693954
TACSTD2,-2.058890407,0.001693954
CAB39L,-1.306357431,0.001849451
SLC2A9,1.531629432,0.001888938
KRT8,1.225855255,0.001992481
LRRC34,-1.273020165,0.001992481
LOC107054526,-2.245144187,0.001999562
LOC112531572,-1.518949558,0.002009571
LOC422993,2.346267979,0.002009571
LOC124417891,-1.54706451,0.00202805
AVPI1,1.025895836,0.002175156
FGFBP1,1.394415696,0.002175156
COL17A1,1.60477835,0.002226675
MHM2,5.25989787,0.002231662
LOC770612,1.250245697,0.002234494
NRSN1,-1.361390468,0.002234494
LOC107051757,-1.278333734,0.002269477
C3orf18,-1.089392467,0.002317368
USH1G,-2.220333572,0.002317839
CD36,-1.418881547,0.002418919
GLTP,1.015556031,0.002672272
TTN,-1.298365472,0.002688872
LOC121109183,-1.937211429,0.002699994
C14orf132,-1.588616234,0.002700949
TMEM72,-3.027801928,0.002700949
LOC112532241,-1.215445873,0.002705598
MT3,-2.356626931,0.002705598
CHRM5,-1.826695617,0.002795035
POLR3G,-1.231514789,0.002884166
LOC107049019,-1.653256944,0.002961828
LOC107054601,-1.899425434,0.003048163
LOC107054325,1.141623652,0.003146793
CAPSL,-1.047753191,0.00331838
LOC124417067,-1.533790478,0.00331838
PDCD1LG2,1.707667224,0.00331838
VNN2,-1.134292349,0.00331838
CERS6,-1.372955451,0.003331929
AvBD1,-4.588150698,0.003506232
AHRR,-1.240197491,0.003604927
LOC121106850,-4.131110071,0.0036463
SRCIN1,1.188228819,0.0036463
UCN3,-1.506782465,0.003668158
LOC107054964,-1.80726662,0.003722243
RNF223,1.016072916,0.003753725
MCF2,-1.184087413,0.00385613
DSG4,-1.582777463,0.003882789
HS6ST1,1.276019398,0.003882789
FAM83B,-1.234321582,0.003896553
PTN,-1.232847986,0.00395421
HMCN1,-1.502915147,0.003960603
LOC101750153,-2.476806496,0.004099569
LOC107053544,-1.640015181,0.004128391
LOC107055347,-2.42054317,0.004128391
TTC8,-1.238731732,0.004128391
CRISP2,-3.206785382,0.004181689
PPP4R4,-1.311925285,0.004181689
PTBP2,-1.036013892,0.004183598
HESX1,-1.261854974,0.004259407
SXPH,-1.485144931,0.004283183
LOC107055390,1.197763637,0.004325362
LOC107057061,2.718559491,0.004340217
LOC112533468,-2.104811003,0.004571506
LOC112532478,-1.182356355,0.00461035
DACT2,-1.488890615,0.004673828
IL17RD,-1.253165873,0.004673828
IGFN1,-1.884418762,0.004677891
LOC107049570,-1.286592288,0.004677891
CD7,1.44349892,0.004683359
J6367_mgt12,-2.782457568,0.004696895
RASSF9,-2.789357718,0.004696895
AVD,1.828992387,0.004804181
CADPS,-1.393356532,0.004857502
NEUROD1,-1.170302885,0.004905877
LOC121106769,-1.814280204,0.004939777
DDO,-1.877113595,0.004979858
LOC771030,-2.279089177,0.004979858
NPY2R,-2.526882922,0.00501918
FRMPD3,-2.129514929,0.0050253
BF2,1.465323136,0.00506956
SAMHD1,1.019835037,0.005184068
GBP4L,1.116706228,0.005200994
LOC107052701,-2.939090095,0.00521814
SCGN,-1.135183867,0.00521814
EDN1,-1.21448623,0.005258919
TAAR1,-1.571397925,0.005271734
BVES,-1.492247905,0.005341785
LOC121109303,-2.605581273,0.005341785
HBAD,-2.058884344,0.005359497
LOC121113460,-1.538260393,0.005359497
LOC121111245,-1.000287145,0.005400447
VILL,2.163881016,0.005443233
LOC427882,1.258506432,0.005445264
GIP,-1.468041248,0.005461398
LOC107052556,-1.312275373,0.005595707
PLAC8L1,1.474758932,0.005595707
SDR42E2,-1.145923598,0.005629052
S100A6,1.486878956,0.005671296
LOC112532848,-1.165680596,0.005673408
HFM1,-1.498804926,0.005905255
J6367_mgp03,-1.43510925,0.005905255
F5,-1.154005694,0.005909181
SCHIP1,-1.060572869,0.005909181
PROK1,-2.885063897,0.005965687
LOC121110220,-2.99489087,0.006153225
LOC112532793,-1.29720621,0.006205368
TAPBP,1.050125947,0.006205368
LOC101750670,-2.113787538,0.006343956
SLC10A2,3.142900344,0.006461485
SPAG17,-2.080765235,0.006556651
LOC107052451,-1.216718737,0.006588478
LOC107057415,-1.03067809,0.006588478
C12orf75,-1.236803697,0.006625505
SFRP1,-1.853646392,0.006625505
LOC121113216,-2.934840807,0.006683512
LOC121106625,2.118918048,0.006735597
LOC121113175,-1.428181559,0.006918001
LOC121109775,1.161315415,0.006951607
CD200L,2.092672724,0.007002189
FAM92A,-1.017189734,0.007061113
LOC107050997,-1.937228129,0.007061113
LOC121113160,-1.574954542,0.007061113
LRFN3,-1.228720999,0.0071062
PCNX4,-1.133429705,0.00712222
LOC107051906,-1.171218672,0.007173978
KCNK3,-1.028135093,0.007220647
LOC107052763,1.392214395,0.007253449
TUSC3,-1.384691044,0.007255445
LOC121106852,-4.141831908,0.007414173
