NAME	NES	FDR q-val
KEGG_PARKINSONS_DISEASE	2.3390923	0
KEGG_OXIDATIVE_PHOSPHORYLATION	2.2795234	0
KEGG_GLUTATHIONE_METABOLISM	2.1434429	0
KEGG_HUNTINGTONS_DISEASE	2.0837011	0.001067014
KEGG_PROTEASOME	1.970028	0.003587574
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	1.7652929	0.039269608
KEGG_ALZHEIMERS_DISEASE	1.6816097	0.054565504
KEGG_PYRIMIDINE_METABOLISM	1.7058903	0.057562653
