NAME	NES	FDR q-val
KEGG_RIBOSOME	-2.791942	0
KEGG_PARKINSONS_DISEASE	-2.1346164	0
KEGG_OXIDATIVE_PHOSPHORYLATION	-2.1160524	0
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	-1.9492202	0.001884623
KEGG_HUNTINGTONS_DISEASE	-1.9058983	0.004505413
KEGG_SPLICEOSOME	-1.7884012	0.017817957
KEGG_ALZHEIMERS_DISEASE	-1.7523547	0.023202907
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	-1.7378987	0.02378348
